time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451650000	8.21281	20.5199	4.75301	3.48335	0.511643	radar	0.0972078	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9734	20.4434	4.77195	3.50618	0.50911	lidar	0.0612039	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7828	20.362	4.77352	3.54128	0.529631	radar	3.37848	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.49838	20.292	4.8464	3.55508	0.518149	lidar	0.897845	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.26621	20.1929	4.84676	3.57671	0.510405	radar	0.310209	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	7.00662	20.1048	4.89116	3.59358	0.502662	lidar	0.349007	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.79368	20.0184	4.86233	3.60903	0.48905	radar	0.496277	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.54309	19.9214	4.89894	3.62551	0.482035	lidar	0.259705	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.34847	19.8399	4.86493	3.6423	0.475361	radar	2.62269	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.0872	19.7392	4.91579	3.65501	0.465685	lidar	0.481705	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.83688	19.59	4.99764	3.68759	0.48279	radar	1.96488	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.63119	19.4625	4.98988	3.71157	0.482816	lidar	0.114631	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.46603	19.2986	4.94991	3.74877	0.493718	radar	1.24474	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.23805	19.1753	4.9729	3.76455	0.486345	lidar	0.54374	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.0961	19.0743	4.84088	3.77694	0.464059	radar	4.8395	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.89917	18.9324	4.84387	3.7987	0.462866	lidar	0.0181293	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.64978	18.7972	4.92297	3.81191	0.459204	radar	1.83699	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
